"REGION","DEPARTEMENT","COMMUNE","Nombre de conflits"," Problèmes de lotissement ","Problème de délimitation      (villages ou communes) ","Litiges fonciers entre particuliers ","Litiges fonciers entre populations et promoteurs ","Conflits Communautaires","Latitude","Longitude"
"DAKAR","DAKAR","Patte D'oie","3","1","1","0","0","1","14.749167","-17.438611"
"DAKAR","RUFISQUE","Diamnadio","5","0","2","1","2","0","14.729167","-17.224167"
"DAKAR","RUFISQUE","Rufisque-est","4","1","1","0","2","0","14.715278","-17.270833"
"DIOURBEL","Diourbel","Diourbel","3","1","0","0","1","1","14.654167","-16.235"
"DIOURBEL","Diourbel","Taiba Moutoupha","2","1","1","0","0","0","14.794722","-16.301944"
"DIOURBEL","Bambey","Keur Samba Kane","2","0","0","2","0","0","14.896111","-16.598611"
"Fatick","Fatick","Tattaguine","4","0","0","1","2","1","14.405833","-16.552222"
"Fatick","Fatick","Diarrere","3","0","0","2","1","0","14.319444","-16.443611"
"Fatick","Foundiougne","Karang","3","0","0","2","0","1","13.605278","-16.424444"
"Kaffrine","Kaffrine","Gniby","1","0","0","1","0","0","14.104167","-15.549722"
"Kaffrine","Koungheul","Fass Thiékéne","1","0","1","0","0","0","13.906111","-14.742222"
"Kaffrine","Birikilane","Ndiognick","1","0","0","1","0","0","14.052778","-15.655833"
"Kaolack","Kaolack","Keur Baka","2","0","0","1","0","1","13.658056","-15.678333"
"Kaolack","Kaolack","Ndoffane","3","0","0","2","0","1","13.916944","-15.927222"
"Kaolack","Nioro","Wack Ngouna","3","0","0","3","0","0","13.757222","-16.062778"
"Kédougou","Kédougou","Tomboronkt","1","0","1","0","0","0","12.421111","-11.860833"
"Kédougou","Kédougou","Fongolimbi","1","0","0","0","0","1","12.544167","-11.983333"
"Kédougou","Kédougou","Tomboronkot","1","0","1","0","0","0","12.940278","-12.278056"
"Kolda","Kolda","Saré Bidji","4","1","0","3","0","0","12.92","-15.006389"
"Kolda","Médina Yoro Foulah","Niaming","2","0","0","0","0","2","13.288889","-14.714167"
"Kolda","Velingara","Médina Gounass","4","0","0","4","0","0","13.140833","-13.758056"
"Louga","Louga","Keur Momar Sarr","1","0","0","1","0","0","15.926111","-15.966667"
"Louga","Kebemer","Darou Mousty","1","0","0","0","0","1","15.0425","-16.048333"
"Louga","kebemer","Darou Marnane","1","0","0","1","0","0","15.103889","-16.169167"
"MATAM","MATAM","Matam","2","0","0","1","0","1","15.653889","-13.254722"
"MATAM","KANEL","Ndendory","3","1","0","0","0","2","15.66","-13.2575"
"MATAM","KANEL","Wouro Sidy","2","1","0","0","0","1","15.416667","-13.183056"
"SAINT-LOUIS","PODOR","Gamadji Saré","3","0","0","0","0","2","16.5175","-14.709444"
"SAINT-LOUIS","DAGANA","Bokhol","1","0","0","0","0","1","16.516667","-15.4"
"SAINT-LOUIS","PODOR","Dodel","2","0","0","0","0","2","16.486389","-14.421944"
"SEDHIOU","BOUNKILING","Boghal","3","0","2","0","0","1","13.038056","-15.698611"
"SEDHIOU","GOUDOMP","Samine","3","0","0","1","0","2","12.495556","-15.628611"
"SEDHIOU","GOUDOMP","Goudomp","2","0","0","0","0","2","12.533611","-15.945278"
"TAMBACOUNDA","TAMBACOUNDA","Sinthiou Maléme","4","1","0","0","1","2","13.7725","-13.670833"
"TAMBACOUNDA","GOUDIRY","Dianké Makha","2","0","1","0","1","0","14.1875","-12.705"
"TAMBACOUNDA","KOUMPENTOUM","Kouthiaba Wolof","2","0","0","0","0","2","14.1825","-14.461389"
"THIES","MBOUR","Ndiagagnao","2","0","1","0","0","1","14.5375","-16.726111"
"THIES","THIES","Thiès-Est","4","0","3","0","0","1","14.788333","-16.927222"
"ZIGUINCHOR","BIGNONA","Kafountine","3","0","0","2","0","1","12.932778","-16.734722"
"ZIGUINCHOR","OUSSOUYE","Mlomp","4","0","2","0","0","2","12.560833","-16.576944"
"ZIGUINCHOR","BIGNONA","Coubalan","4","0","3","0","0","1","12.665833","-16.176111"
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
